,name,salary_from,salary_to,salary_currency,area_name,published_at
2580,Шлифовщик (Ярославская область),96000.0,,RUR,Рыбинск,2022-12-15T14:45:07+0300
2581,Токарь,40000.0,,RUR,Волгоград,2022-12-15T15:15:12+0300
2582,Аналитик 1С: ERP,,,,Самара,2022-12-15T14:38:41+0300
2583,Специалист технической поддержки,70000.0,80000.0,RUR,Москва,2022-12-15T14:18:41+0300
2584,Оператор-наладчик фрезерных станков с ЧПУ на производство металлоизделий,90000.0,,RUR,Москва,2022-12-15T13:01:59+0300
2585,Начальник кузовного цеха Тойота-Челябинск-Север,,,,Челябинск,2022-12-15T15:39:38+0300
2586,Системный аналитик HR процессов,,,,Москва,2022-12-15T16:19:56+0300
2587,Техник-курьер,400.0,2000.0,RUR,Ставрополь,2022-12-15T17:13:34+0300
2588,Механик по техническому обслуживанию – Инструментальщик,,1500.0,EUR,Польша,2022-12-15T17:03:47+0300
2589,Оператор автоматических и полуавтоматических линий станков и установок,80000.0,,RUR,Щелково,2022-12-15T13:44:11+0300
2590,Senior .NET Backend Developer,,,,Новосибирск,2022-12-15T14:37:55+0300
2591,Системный аналитик (ЦК Кредитный конвейер),,,,Москва,2022-12-15T14:11:07+0300
2592,1C разработчик,,,,Новосибирск,2022-12-15T14:15:23+0300
2593,Шлифовщик (Ярославская область),97000.0,105000.0,RUR,Кинешма,2022-12-15T15:26:38+0300
2594,Middle Java Developer в Черногории,,,,Краснодар,2022-12-15T13:24:46+0300
2595,.NET-разработчик,,,,Ижевск,2022-12-15T14:22:12+0300
2596,Оператор автом. и п/а линий хшо,50000.0,,RUR,Новочеркасск,2022-12-15T12:27:51+0300
2597,Токарь (Тамбовская область),96000.0,,RUR,Екатеринбург,2022-12-15T14:23:53+0300
2598,Шлифовщик (Ярославская область),97000.0,105000.0,RUR,Ржев,2022-12-15T15:26:38+0300
2599,Оператор фрезерного станка с ЧПУ по дереву/пластику,,40000.0,RUR,Кострома,2022-12-15T17:23:39+0300
2600,Ведущий JAVA Разработчик,220000.0,,RUR,Москва,2022-12-15T16:42:14+0300
2601,Токарь-расточник/токарь-карусельщик (Екатеринбург),100000.0,,RUR,Качканар,2022-12-15T12:58:30+0300
